timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2018-08-07T00:00:00.000Z;""2018-08-07T23:59:59.999Z"";""2018-08-07T16:39:00.000Z"";""2018-08-07T23:29:00.000Z"";""2781"";6958.32;7146.56;6748.24;6753.12;4682800000;116128339800;""2018-08-07T23:59:59.999Z"""
"2018-08-06T00:00:00.000Z;""2018-08-06T23:59:59.999Z"";""2018-08-06T02:49:00.000Z"";""2018-08-06T22:44:00.000Z"";""2781"";7062.94;7166.55;6890.54;6951.8;3925900000;119531508535;""2018-08-06T23:59:59.999Z"""
"2018-08-05T00:00:00.000Z;""2018-08-05T23:59:59.999Z"";""2018-08-05T21:19:00.000Z"";""2018-08-05T01:19:00.000Z"";""2781"";7031.08;7102.77;6940.7;7068.48;3679110000;121526079384;""2018-08-05T23:59:59.999Z"""
"2018-08-04T00:00:00.000Z;""2018-08-04T23:59:59.999Z"";""2018-08-04T02:09:00.000Z"";""2018-08-04T17:39:01.000Z"";""2781"";7438.67;7497.49;6984.07;7032.85;4268390000;120899698889;""2018-08-04T23:59:59.999Z"""
"2018-08-03T00:00:00.000Z;""2018-08-03T23:59:59.999Z"";""2018-08-03T00:04:05.000Z"";""2018-08-03T04:49:07.000Z"";""2781"";7562.14;7562.14;7328.65;7434.39;4627150000;127785826655;""2018-08-03T23:59:59.999Z"""
"2018-08-02T00:00:00.000Z;""2018-08-02T23:59:59.999Z"";""2018-08-02T02:39:00.000Z"";""2018-08-02T13:39:00.000Z"";""2781"";7634.19;7712.77;7523.44;7567.15;4214110000;130052066760;""2018-08-02T23:59:59.999Z"""
"2018-08-01T00:00:00.000Z;""2018-08-01T23:59:59.999Z"";""2018-08-01T00:04:00.000Z"";""2018-08-01T22:09:00.000Z"";""2781"";7769.04;7769.04;7504.95;7624.91;4797620000;131030166771;""2018-08-01T23:59:59.999Z"""
"2018-07-31T00:00:00.000Z;""2018-07-31T23:59:59.999Z"";""2018-07-31T00:09:02.000Z"";""2018-07-31T23:29:00.000Z"";""2781"";8181.2;8181.53;7696.93;7780.44;5287530000;133688476220;""2018-07-31T23:59:59.999Z"""
"2018-07-30T00:00:00.000Z;""2018-07-30T23:59:59.999Z"";""2018-07-30T01:39:02.000Z"";""2018-07-30T18:14:00.000Z"";""2781"";8221.58;8235.5;7917.5;8180.48;5551400000;140547190784;""2018-07-30T23:59:59.999Z"""
"2018-07-29T00:00:00.000Z;""2018-07-29T23:59:59.999Z"";""2018-07-29T02:24:03.000Z"";""2018-07-29T11:39:14.000Z"";""2781"";8205.8203125;8272.259765625;8141.1801757813;8218.4599609375;4107190016;141185844808;""2018-07-29T23:59:59.999Z"""
"2018-07-28T00:00:00.000Z;""2018-07-28T23:59:59.999Z"";""2018-07-28T05:49:09.000Z"";""2018-07-28T15:59:15.000Z"";""2781"";8169.0600585938;8222.849609375;8110.7700195313;8192.150390625;3988750080;140716560550;""2018-07-28T23:59:59.999Z"""
"2018-07-27T00:00:00.000Z;""2018-07-27T23:59:59.999Z"";""2018-07-27T19:04:03.000Z"";""2018-07-27T13:09:02.000Z"";""2781"";7950.3999023438;8262.66015625;7839.759765625;8165.009765625;5195879936;140235573607;""2018-07-27T23:59:59.999Z"""
"2018-07-26T00:00:00.000Z;""2018-07-26T23:59:59.999Z"";""2018-07-26T10:39:00.000Z"";""2018-07-26T23:19:02.000Z"";""2781"";8176.8500976563;8290.330078125;7878.7099609375;7951.580078125;4899089920;136553079708;""2018-07-26T23:59:59.999Z"""
"2018-07-25T00:00:00.000Z;""2018-07-25T23:59:59.999Z"";""2018-07-25T00:34:00.000Z"";""2018-07-25T15:54:00.000Z"";""2781"";8379.66015625;8416.8701171875;8086.3598632813;8181.3901367188;5845400064;140482950401;""2018-07-25T23:59:59.999Z"""
"2018-07-24T00:00:00.000Z;""2018-07-24T23:59:59.999Z"";""2018-07-24T23:59:00.000Z"";""2018-07-24T00:49:00.000Z"";""2781"";7716.509765625;8424.26953125;7705.5;8424.26953125;7277689856;144634918474;""2018-07-24T23:59:59.999Z"""
"2018-07-23T00:00:00.000Z;""2018-07-23T23:59:59.999Z"";""2018-07-23T19:34:00.000Z"";""2018-07-23T00:09:00.000Z"";""2781"";7414.7099609375;7771.5;7409.1000976563;7711.1098632813;5132480000;132375368459;""2018-07-23T23:59:59.999Z"""
"2018-07-22T00:00:00.000Z;""2018-07-22T23:59:59.999Z"";""2018-07-22T21:19:01.000Z"";""2018-07-22T22:09:00.000Z"";""2781"";7417.7998046875;7537.9501953125;7383.8198242188;7418.490234375;3695460096;127336615249;""2018-07-22T23:59:59.999Z"""
"2018-07-21T00:00:00.000Z;""2018-07-21T23:59:59.999Z"";""2018-07-21T18:39:00.000Z"";""2018-07-21T01:14:00.000Z"";""2781"";7352.7202148438;7437.6401367188;7262.41015625;7419.2900390625;3726609920;127333468174;""2018-07-21T23:59:59.999Z"""
"2018-07-20T00:00:00.000Z;""2018-07-20T23:59:59.999Z"";""2018-07-20T16:54:00.000Z"";""2018-07-20T22:24:00.000Z"";""2781"";7467.3999023438;7594.669921875;7323.259765625;7354.1298828125;4936869888;126202570251;""2018-07-20T23:59:59.999Z"""
