,Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2058,15/02/2013,27.4,27.56,26.72,27,3145.143173,85416.68474,27.15828184
2059,14/02/2013,25,27.5,22.42,27.4,12042.50498,304559.4442,25.29037311
2060,13/02/2013,25.33,25.97,25,25,3983.639153,101818.2612,25.55910745
2061,12/02/2013,23.94,25.85,23.87,25.47,8534.233954,212940.2822,24.95130592
2062,11/02/2013,23.74,23.94,23.16,23.94,2978.347298,70368.403,23.62666135
2063,10/02/2013,23.46,23.8,22.85,23.7,2194.811363,51399.55015,23.41866414
2064,09/02/2013,22.4,23.5,22.24,23.14,2134.078974,48434.12583,22.69556395
2065,08/02/2013,21.95,22.63,21.81,22.4,2801.665954,62459.84798,22.2938241
2066,07/02/2013,20.91,21.96,20.9,21.71,6307.576563,134111.5171,21.26197214
2067,06/02/2013,20.56,20.99,20.33,20.91,3424.260011,71187.8583,20.78926778
2068,05/02/2013,20.3,20.69,20.08,20.5,3193.307704,65127.97542,20.39514555
2069,04/02/2013,20.55,20.7,19.9,20.3,4506.951134,92079.81501,20.430622
2070,03/02/2013,19.76,20.59,19.57,20.29,2479.421644,50025.84051,20.17641518
2071,02/02/2013,20.35,20.53,19.5,19.82,4786.977974,94152.1732,19.66839491
2072,01/02/2013,20.3,20.9,20.04,20.35,3503.83131,72116.84851,20.58228326
2073,31/01/2013,19.45,21,19.27,20.46,5738.861152,115283.7188,20.0882572
2074,30/01/2013,19.46,19.47,18.85,19.45,2557.507736,48878.9474,19.11194508
2075,29/01/2013,18.6,19.85,18.53,19.35,4541.640004,87069.57229,19.17139452
2076,28/01/2013,17.6,18.74,17.48,18.67,5344.518937,96361.46303,18.02996007
2077,27/01/2013,17.49,17.6,17.08,17.6,2589.574188,45217.36805,17.46131401
2078,26/01/2013,17.3,17.49,16.67,17.49,2485.896704,42385.89384,17.05054509
2079,25/01/2013,17.15,17.72,16.12,17.49,5131.562689,87773.79862,17.10469187
2080,24/01/2013,17.5,19.2,16,17.29,14880.17041,269214.3831,18.09215726
2081,23/01/2013,17.5,17.6,16.86,17.5,4853.15538,83871.77464,17.28190591
2082,22/01/2013,16.53,17.6,16.45,17.35,3827.757,65908.21232,17.21849436
2083,21/01/2013,15.62,16.98,15.45,16.52,5634.628204,91833.14685,16.29799581
2084,20/01/2013,15.48,15.69,15.38,15.5,1427.767472,22158.0566,15.51937345
2085,19/01/2013,15.52,15.65,15.32,15.38,1993.540227,30700.79556,15.40013848
2086,18/01/2013,15.34,15.7,15.17,15.57,6749.525678,104430.4053,15.4722584
2087,17/01/2013,14.53,15.47,14.45,15.36,5227.756422,78132.71671,14.94574544
2088,16/01/2013,14.15,14.65,14.01,14.53,5436.228758,78305.35625,14.40435267
2089,15/01/2013,14.1,14.32,13.88,14.2,4961.379052,70161.08815,14.14144886
2090,14/01/2013,13.65,14.1,13.5,14.1,4314.604598,60172.09641,13.94614386
2091,13/01/2013,13.94,14.03,13.54,13.64,1578.509713,21695.64747,13.74438642
2092,12/01/2013,14.02,14.07,13.84,13.89,2245.5632,31296.02699,13.93682752
2093,11/01/2013,14,14.1,13.85,14,2405.626038,33619.01925,13.97516435
2094,10/01/2013,13.67,14.19,13.5,14,3719.447379,51323.11823,13.79858699
2095,09/01/2013,13.51,13.65,13.18,13.58,4640.267393,62258.09918,13.4169206
2096,08/01/2013,13.2,13.5,13.05,13.5,6086.275155,81166.30812,13.33595772
2097,07/01/2013,13.1,13.2,13.04,13.2,3935.248457,51741.80824,13.14829516
2098,06/01/2013,13.11,13.15,13.06,13.15,453.5630895,5943.519608,13.10406368
2099,05/01/2013,13.19,13.19,13.03,13.15,1463.535849,19221.27375,13.13344922
2100,04/01/2013,13.12,13.24,12.84,13.19,2700.253507,35364.47331,13.0967234
2101,03/01/2013,13.09,13.26,12.96,13.19,3320.972054,43609.26702,13.13147666
2102,02/01/2013,13.12,13.19,12.98,13.09,1840.848724,24114.0494,13.09941936
2103,01/01/2013,13.24,13.24,12.77,13.22,2116.929409,27536.43132,13.00772298
2104,31/12/2012,13.2,13.29,13.05,13.24,1641.785612,21619.47076,13.16826667
2105,30/12/2012,13.13,13.29,13.1,13.2,1020.890233,13510.92425,13.23445344
2106,29/12/2012,13.18,13.28,13.11,13.22,274.7865966,3632.418962,13.21905438
2107,28/12/2012,13.19,13.29,13.01,13.18,4176.881802,54906.8972,13.14542757
2108,27/12/2012,13.18,13.25,12.91,13.2,3347.611481,43802.85665,13.08480895
2109,26/12/2012,13.09,13.19,13.01,13.18,2247.798362,29347.15325,13.05595455
2110,25/12/2012,13.23,13.25,13.09,13.24,1136.04127,14941.44626,13.15220376
2111,24/12/2012,13.11,13.24,13.01,13.23,1511.901772,19799.93429,13.09604542
2112,23/12/2012,13.2,13.29,13.04,13.14,518.012096,6803.10946,13.13310927
2113,22/12/2012,13.28,13.37,13.11,13.2,870.3956475,11516.74341,13.2316188
2114,21/12/2012,13.38,13.41,13.2,13.2,2559.576356,33924.91238,13.25411227
2115,20/12/2012,13.27,13.44,13.14,13.35,1866.131661,24823.75887,13.30225482
2116,19/12/2012,13.13,13.4,13,13.4,4893.71657,64662.32933,13.21333764
2117,18/12/2012,13.3,13.62,12.75,13.13,5416.932823,70572.78049,13.02818085
2118,17/12/2012,13.28,13.29,12.85,13.2,5313.365783,69262.79544,13.03557825
2119,16/12/2012,13.38,13.44,13.27,13.27,1217.808877,16244.38217,13.33902427
2120,15/12/2012,13.51,13.57,13.28,13.38,1531.921007,20413.30295,13.32529736
2121,14/12/2012,13.51,13.94,13.38,13.51,5949.656983,81315.80252,13.66730935
2122,13/12/2012,13.49,13.52,13.05,13.52,5259.543639,70146.10765,13.33691903
2123,12/12/2012,13.39,13.49,13.23,13.49,3925.656653,52584.3983,13.39505793
2124,11/12/2012,13.13,13.41,13.13,13.35,2641.351974,35171.19764,13.31560428
2125,10/12/2012,13.3,13.4,13.03,13.3,6444.033152,85391.12941,13.25119338
2126,09/12/2012,13.35,13.36,13.1,13.29,1187.244801,15671.48267,13.19987475
2127,08/12/2012,13.3,13.37,13.3,13.36,509.4446727,6792.093484,13.33234765
2128,07/12/2012,13.34,13.48,13.11,13.37,3494.465978,46592.93349,13.33334872
2129,06/12/2012,13.2,13.59,13.02,13.45,4479.878721,59510.93413,13.28405027
2130,05/12/2012,12.86,13.43,12.63,13.2,3202.160667,42022.98789,13.12332274
2131,04/12/2012,12.5,13.01,12.42,12.59,5524.270221,70234.7031,12.71384279
2132,03/12/2012,12.46,12.6,12.32,12.6,5124.745796,63764.15021,12.44240256
2133,02/12/2012,12.44,12.46,12.24,12.42,1741.3898,21548.16138,12.37411714
2134,01/12/2012,12.39,12.46,12.31,12.34,2513.848998,31183.91721,12.40484899
2135,30/11/2012,12.35,12.45,12.2,12.43,3472.326639,42855.95317,12.34214336
2136,29/11/2012,12.22,12.41,12.1,12.37,3553.575777,43632.21767,12.27839799
2137,28/11/2012,12.01,12.74,11.93,12.22,4332.172428,52673.24554,12.15862167
2138,27/11/2012,12.2,12.23,11.75,12.07,3692.252109,44268.46696,11.98955695
2139,26/11/2012,12.32,12.4,12.11,12.2,4569.274849,55822.93693,12.21702322
2140,25/11/2012,12.29,12.35,12.2,12.31,1110.261212,13641.48706,12.2867366
2141,24/11/2012,12.16,12.29,12.06,12.25,1378.948839,16783.73333,12.17139669
2142,23/11/2012,11.86,12.16,11.66,12.16,2085.939497,25154.96618,12.05929808
2143,22/11/2012,11.67,12.12,11.55,11.88,10030.59752,118497.3329,11.81358665
2144,21/11/2012,11.64,11.67,11.34,11.67,3449.380031,39721.62394,11.51558355
2145,20/11/2012,11.6,11.69,11.44,11.65,2524.495746,29272.39917,11.59534502
2146,19/11/2012,11.51,11.65,11.03,11.65,4206.617839,47845.29887,11.37381638
2147,18/11/2012,11.56,11.65,11.32,11.51,1033.460701,11853.50919,11.46972418
2148,17/11/2012,11.48,11.65,11.45,11.57,795.3504129,9174.525188,11.53519887
2149,16/11/2012,11.05,11.6,10.96,11.46,7094.45117,79249.74067,11.17066546
2150,15/11/2012,10.98,11.05,10.81,11.05,2452.656808,26917.72245,10.97492416
2151,14/11/2012,10.87,10.98,10.74,10.97,1294.563007,14128.30449,10.91357038
2152,13/11/2012,10.92,10.99,10.76,10.87,2565.613779,27984.97848,10.90771289
2153,12/11/2012,10.78,10.92,10.72,10.87,1146.317733,12439.30644,10.85153451
2154,11/11/2012,10.82,10.85,10.64,10.82,650.6784333,6980.575826,10.72814999
2155,10/11/2012,10.8,10.87,10.63,10.81,1074.44382,11581.04344,10.77864028
2156,09/11/2012,10.69,10.84,10.61,10.8,2342.580384,25223.15767,10.76725386
2157,08/11/2012,10.65,10.83,10.25,10.81,2930.399499,31006.3416,10.58092646
2158,07/11/2012,10.68,10.84,10.45,10.8,4027.999483,43035.79533,10.68416108
2159,06/11/2012,10.78,10.8,10.51,10.74,3348.912811,35648.69781,10.64485695
2160,05/11/2012,10.63,10.8,10.5,10.78,5531.261206,58624.90619,10.59883162
2161,04/11/2012,10.67,10.68,10.4,10.64,2010.406233,21126.72855,10.50868636
2162,03/11/2012,10.54,10.69,10.41,10.66,1572.814661,16586.0985,10.54548823
2163,02/11/2012,10.85,10.96,10.45,10.67,2477.449542,26465.31004,10.68248196
2164,01/11/2012,11,11.05,10.63,10.85,1726.988321,18852.23493,10.91624923
2165,31/10/2012,10.79,11,10.66,11,3057.679498,33152.61968,10.84241161
2166,30/10/2012,10.8,10.81,10.43,10.8,2780.314698,29649.72918,10.66416302
2167,29/10/2012,10.67,10.8,10.32,10.8,2655.790811,28198.08294,10.61758435
2168,28/10/2012,10.35,10.75,10.3,10.54,972.3192864,10231.22261,10.52249271
2169,27/10/2012,10,10.75,9.5,10.43,1989.477513,19869.37046,9.987230481
2170,26/10/2012,10.46,10.84,9.68,10,2384.646512,24712.71001,10.36325924
2171,25/10/2012,11.39,11.39,10.4,10.55,3077.540636,33904.38596,11.01671431
2172,24/10/2012,11.38,11.62,11.01,11.4,3180.176965,36136.82056,11.3631477
2173,23/10/2012,11.5,11.7,11.25,11.58,2717.110053,31250.19419,11.50126185
2174,22/10/2012,11.54,11.57,11.27,11.49,1913.118006,21966.437,11.48200839
2175,21/10/2012,11.6,11.68,11.29,11.32,2048.260327,23455.96945,11.45165443
2176,20/10/2012,11.65,11.7,11.53,11.6,704.855011,8193.045065,11.62373103
2177,19/10/2012,11.75,11.84,11.5,11.67,10149.00153,118964.5983,11.72180317
2178,18/10/2012,11.9,11.9,11.55,11.8,1277.754257,15057.09636,11.78403146
2179,17/10/2012,11.79,11.97,11.15,11.88,3020.890537,35317.85113,11.69120519
2180,16/10/2012,11.8,11.94,11.17,11.92,1004.499677,11660.43211,11.60819897
2181,15/10/2012,11.78,11.84,11.03,11.66,3425.958007,39335.86222,11.48171173
2182,14/10/2012,11.85,11.9,11.79,11.79,336.2176475,3981.403016,11.84174313
2183,13/10/2012,11.9,12,11.81,11.85,486.6159066,5796.152144,11.91114401
2184,12/10/2012,11.95,12.1,11.81,11.9,735.7166072,8827.925293,11.9990839
2185,11/10/2012,12.1,12.13,11.58,12.09,2349.860473,27788.03728,11.82539883
2186,10/10/2012,11.85,12.25,11.79,12.24,2369.718361,28378.10685,11.97530783
2187,09/10/2012,11.62,12.26,11.52,11.99,1933.939089,23092.58241,11.9406979
